article_id,language,issue_ids,continent,countries_involved,tag_status,llm_review_needed,source_type,source_url,outlet_bias,title,link,llm_label,llm_evidence_quote,human_label,correction_note,reviewed_at,collected_at
79c835ad,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,"Gen Zs recall first learning of 'deeply harrowing, terrifying' 9/11",https://www.bbc.co.uk/news/articles/cgmrzzkjywlo?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:37:54.000804+00:00
a37815ef,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,"CIA warned of threat of 'explosive airplane' years before 9/11, documents show",https://www.bbc.co.uk/news/articles/c17j94ew1lno?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:37:54.000804+00:00
6193f341,en,[],,['USA'],unclassified,FALSE,news,feeds.bbci.co.uk,center,American Shelton to face Zverev in US Open final,https://www.bbc.co.uk/sport/tennis/articles/clykzn81n4go?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:37:54.000804+00:00
c11e7602,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,Anthropic blocks possible attempt to use AI to make biological weapons,https://www.bbc.co.uk/news/articles/cx2zrrpkx20o?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:37:54.000804+00:00
d8ac0c9f,en,['na-3'],북미,['USA'],matched,FALSE,news,feeds.bbci.co.uk,center,US prices remain high as fuel costs squeeze household budgets,https://www.bbc.co.uk/news/articles/cly41rdkrleo?at_medium=RSS&at_campaign=rss,비판적,"Prices in the US rose 3.4% in the 12 months to August, according to the latest official report on inflation.",중립적,"인플레이션 통계 인용일 뿐, 비판적 평가 표현 없음",2026-09-13T00:00:00+00:00,2026-09-12T17:37:54.000804+00:00
80582d66,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,"Is Trump's $5,000 pledge a sign of panic?",https://www.bbc.co.uk/news/articles/cdj4z2x3zyko?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:38:20.760854+00:00
0be3b876,en,[],,['USA'],unclassified,FALSE,news,feeds.bbci.co.uk,center,Six Nigerians accused of romance scams to be extradited to the US,https://www.bbc.co.uk/news/articles/cj3dy704l71o?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:38:20.760854+00:00
28153d7d,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,"In 9/11 remarks, Trump links war with Iran",https://www.bbc.co.uk/news/videos/c5yjkj438eeo?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:38:20.760854+00:00
ef87571e,en,['na-3'],북미,['USA'],matched,FALSE,news,feeds.bbci.co.uk,center,Has Trump won over voters with his midterm convention?,https://www.bbc.co.uk/news/videos/cn9w5e7wl9ro?at_medium=RSS&at_campaign=rss,중립적,The BBC's North America editor Sarah Smith breaks down the main takeaways from the first-ever Republican convention held in the middle of a US presidential term.,중립적,,2026-09-13T00:00:00+00:00,2026-09-12T17:38:20.760854+00:00
74861f88,en,[],,['USA'],unclassified,FALSE,news,feeds.bbci.co.uk,center,Watch: Americans remember what they were doing on 9/11,https://www.bbc.co.uk/news/videos/cdr765xj1k1o?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:38:53.506967+00:00
588d72d2,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,Brother of Muslim police cadet killed in 9/11 'disappointed' by calls for Mamdani to sit out memorial,https://www.bbc.co.uk/news/videos/ce8e67l4330o?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:38:53.506967+00:00
fdbe0792,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,Drone display recreates the Twin Towers over New York City,https://www.bbc.co.uk/news/videos/cx2z7x57gjeo?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:38:53.506967+00:00
807dab4b,en,[],,['USA'],unclassified,FALSE,news,feeds.bbci.co.uk,center,Firefighters say this antioxidant helped them - their union warns it could be risky,https://www.bbc.co.uk/news/articles/crk3n5z60pvo?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:38:53.506967+00:00
d76a334c,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,"As Trump dominates convention, some Republicans quietly ask who comes next",https://www.bbc.co.uk/news/articles/c2l8xvvw95no?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:38:53.506967+00:00
6eeac90b,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,'We never recovered him': Quest to identify remains from Ground Zero continues,https://www.bbc.co.uk/news/articles/c8d37gq1jnlo?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:38:53.507505+00:00
d11d7890,en,['na-3'],북미,['USA'],matched,FALSE,news,feeds.bbci.co.uk,center,"Can Trump really pay $5,000 to every American adult?",https://www.bbc.co.uk/news/articles/c8r6vj7r8rko?at_medium=RSS&at_campaign=rss,비판적,"Analysts question if the US president's election year offer is workable, legal or affordable.",비판적,,2026-09-13T00:00:00+00:00,2026-09-12T17:38:53.507505+00:00
8ad1307a,en,[],,['USA'],unclassified,FALSE,news,feeds.bbci.co.uk,center,Four takeaways from Republican midterms convention,https://www.bbc.co.uk/news/articles/cg7kjlzlev1o?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:39:20.334816+00:00
8a2f2163,en,[],,[],unclassified,FALSE,news,feeds.bbci.co.uk,center,"Year after Charlie Kirk's death, conservative students struggle to fill void he left",https://www.bbc.co.uk/news/articles/c1e5j1pvv4yo?at_medium=RSS&at_campaign=rss,,,,,,2026-09-12T17:39:20.334816+00:00
0a61367d,en,['na-3'],북미,"['USA', 'Canada']",matched,FALSE,news,feeds.bbci.co.uk,center,A Canadian town's famous warm welcome doesn't extend to US ambassador on 9/11 anniversary,https://www.bbc.co.uk/news/articles/cm27vpe7z7lo?at_medium=RSS&at_campaign=rss,비판적,Now some don't want Trump's envoy at their commemoration.,비판적,,2026-09-13T00:00:00+00:00,2026-09-12T17:39:20.334816+00:00
