"article_id","language","issue_ids","continent","source_type","outlet_bias","title","llm_label","llm_evidence_quote","human_label","correction_note","reviewed_at","link","review_batch_id","review_scope","alert_level","review_status","evidence_url_verified","evidence_quote_supported","source_quality","source_diversity_count","interpretation_assessment","reviewer_id","reviewer_decision","error_type","error_detail","follow_up_date"
"5a619a97","en","['US_Canada_Trade', 'Ukraine_War', 'EU_Russia', 'Baltic_Security', 'Taiwan_Strait']","","expert_analysis","","Can the UN close the global AI gap?","","","","","","https://www.chathamhouse.org/2026/08/can-un-close-global-ai-gap","","","","","","","","","","","","","",""
"602f952d","en","['US_Canada_Trade', 'Brazil_Politics']","","expert_analysis","","Can the world benefit from China’s quest for food security?","","","","","","https://www.chathamhouse.org/2026/07/can-world-benefit-chinas-quest-food-security","","","","","","","","","","","","","",""
"bd31acf7","en","['US_Canada_Trade']","북미","expert_analysis","","Financial regulators need to get ahead of the curve on private credit","","","","","","https://www.chathamhouse.org/2026/07/financial-regulators-need-get-ahead-curve-private-credit","","","","","","","","","","","","","",""
"bfb294f2","en","['US_Canada_Trade', 'Trump_Economy']","","expert_analysis","","‘Structural divergence’ in China’s economy exposes a growing problem","","","","","","https://www.chathamhouse.org/2026/07/structural-divergence-chinas-economy-exposes-growing-problem","","","","","","","","","","","","","",""
"0abff52f","en","['US_Canada_Trade', 'US_Mexico_Migration', 'Trump_Economy']","","expert_analysis","","The Ceuta border crisis heaps pressure on Spain’s Sánchez government – and European unity","","","","","","https://www.chathamhouse.org/2026/07/ceuta-border-crisis-heaps-pressure-spains-sanchez-government-and-european-unity","","","","","","","","","","","","","",""
"cdd8b0ad","en","['Venezuela_Crisis']","남미","news","center","Maduro ally pleads guilty in $195m money laundering case in US court","","","","","","https://www.bbc.co.uk/news/articles/cx5yl2980pzmo?at_medium=RSS&at_campaign=rss","","","","","","","","","","","","","",""
"f4e40bba","en","[]","","local_media","","Russia Resumes Postal Service to North Korea After 6 Years","","","","","","https://www.themoscowtimes.com/2026/09/15/russia-resumes-postal-service-to-north-korea-after-6-years-a93717","","","","","","","","","","","","","",""
"817beda6","en","[]","","local_media","","Moscow Outlines Major Suburban Metro Expansion Project by 2035","","","","","","https://www.themoscowtimes.com/2026/09/10/moscow-outlines-major-suburban-metro-expansion-project-by-2035-a93677","","","","","","","","","","","","","",""
"e2ab0a78","en","[]","","expert_analysis","","New North Korea-China Link Appears Close to Opening","","","","","","https://www.38north.org/2026/09/new-north-korea-china-link-appears-close-to-opening/","","","","","","","","","","","","","",""
"3ffd8f8c","en","[]","","expert_analysis","","How far will Iran push Houthis against Saudi Arabia amid raging conflict?","","","","","","https://www.al-monitor.com/originals/2026/09/how-far-will-iran-push-houthis-against-saudi-arabia-amid-raging-conflict","","","","","","","","","","","","","",""
"f968abd4","en","[]","","local_media","","Leader of Yabloko’s Sverdlovsk Region Branch Left Russia, Reports Say","","","","","","https://www.themoscowtimes.com/2026/09/09/leader-of-yablokos-sverdlovsk-region-branch-left-russia-reports-say-a93670","","","","","","","","","","","","","",""
"16c7daec","en","[]","","local_media","","Skater Kamila Valieva Loses Neutral Status","","","","","","https://www.themoscowtimes.com/2026/09/10/skater-kamila-valieva-loses-neutral-status-a93682","","","","","","","","","","","","","",""
"4d13230d","en","[]","","local_media","","4 Killed in Ukrainian Attack on Novorossiysk","","","","","","https://www.themoscowtimes.com/2026/09/09/4-killed-in-ukrainian-attack-on-novorossiysk-a93664","","","","","","","","","","","","","",""
"5047a9fe","en","[]","","expert_analysis","","Saudi running out of oil export options as Iran, allies choke routes","","","","","","https://www.al-monitor.com/originals/2026/09/saudi-running-out-oil-export-options-iran-allies-choke-routes","","","","","","","","","","","","","",""
"2ab5fe93","en","[]","","expert_analysis","","How far will Iran push Houthis against Saudi Arabia amid raging conflict?","","","","","","https://www.al-monitor.com/originals/2026/09/how-far-will-iran-push-houthis-against-saudi-arabia-amid-raging-conflict","","","","","","","","","","","","","",""
"d2c95e24","en","[]","","expert_analysis","","Beyond Pyongyang: Educational Resource Divide","","","","","","https://www.38north.org/2026/08/beyond-pyongyang-educational-resource-divide/","","","","","","","","","","","","","",""
"c9e90f1c","en","[]","","local_media","","Kremlin-Linked Businessman Helped Pay for Donald Trump Jr.’s Wedding – ProPublica","","","","","","https://www.themoscowtimes.com/2026/09/14/kremlin-linked-businessman-helped-pay-for-donald-trump-jrs-wedding-propublica-a93703","","","","","","","","","","","","","",""
"4d0dcd51","en","[]","","expert_analysis","","The Critical Minerals Linking Myanmar’s Civil War to the World","","","","","","https://www.crisisgroup.org/vis/asia-pacific/myanmar/critical-minerals-linking-myanmars-civil-war-world","","","","","","","","","","","","","",""
"b51868e2","en","['Ukraine_War']","유럽","local_media","","Germany Says It Is Closing a Russian Cultural Center. That Might Not Be So Simple.","","","","","","https://www.themoscowtimes.com/2026/09/08/germany-says-it-is-closing-berlins-russian-cultural-center-that-might-not-be-so-simple-a93651","","","","","","","","","","","","","",""
"dbc64923","en","['Ukraine_War']","유럽","local_media","","Denmark Summons Russian Ambassador After Frigate Fires Flares Toward Military Helicopter","","","","","","https://www.themoscowtimes.com/2026/09/15/denmark-summons-russian-ambassador-after-frigate-fires-flares-toward-military-helicopter-a93709","","","","","","","","","","","","","",""
"6e9ec13d","en","['Ukraine_War']","유럽","local_media","","MFA Repeats Warning for Foreign Embassies in Kyiv to Evacuate After Train Strike Near Poland","","","","","","https://www.themoscowtimes.com/2026/09/15/mfa-repeats-warning-for-foreign-embassies-in-kyiv-to-evacuate-after-train-strike-near-poland-a93715","","","","","","","","","","","","","",""
"1191c30c","en","['US_Mexico_Migration', 'Trump_Economy']","","expert_analysis","","Is AI really getting out of control?","","","","","","https://www.chathamhouse.org/2026/09/ai-really-getting-out-control","","","","","","","","","","","","","",""
"d70eeabc","en","['Brazil_Politics']","남미","expert_analysis","","Will the UN vote to sustain Haiti’s Gang Suppression Force?","","","","","","https://www.chathamhouse.org/2026/09/will-un-vote-sustain-haitis-gang-suppression-force","","","","","","","","","","","","","",""
"7781d160","en","['Congo_Minerals']","아프리카","expert_analysis","","How Burnham should engage with Africa","","","","","","https://www.chathamhouse.org/2026/07/how-burnham-should-engage-africa","","","","","","","","","","","","","",""
"sample_pending_01","en","['US_China_Trade']","북미","news","center","US announces new semiconductor export controls","critical","new semiconductor export controls","","","","https://example.com/us-semi","batch_02","random_20","Warning","pending","","","","","","","","","",""
