Region,Channel_ID,Message_Content,Scraped_At
Iran_IRGC_Proxy,sepah_pasdaran,‏ سامانه‌ای که آینده تحصیلی دانش‌آموزان هنرستانی را بلاتکلیف گذاشته است! ‏ 🔹 با فرا رسیدن فصل پاییز و آغاز سال تحصیلی، بسیاری از دانش‌آموزان رشته‌های مختلف هنرستان با چالش جدی در زمینه ثبت‌نام و تغییر رشته مواجه شده‌اند؛ مشکلی که به گفته برخی دانش‌آموزان، چندین ماه است ادامه دارد و با وجود پیگیری‌های انجام‌شده، هنوز برطرف نشده است. ‏ 🔹 بر اساس گفت‌وگویی که با یکی از دانش‌آموزان انجام شده، وی حدود دو ماه پیش برای تغییر رشته به مدرسه موردنظر خود مراجعه کرده و در آزمون رشته برق هنرستان شرکت کرده است. با این حال، هنگام ثبت نمره، سامانه با مشکل مواجه بوده و امکان ثبت نمرات وجود نداشته است. ‏ 🔹 به گفته این دانش‌آموز، مدیر مدرسه اعلام کرده که سامانه مدت‌هاست دچار قطعی است و در حال حاضر امکان ثبت نمرات وجود ندارد. ‏ 🔹 این دانش‌آموز در ادامه گفت: «بعد از امتحان، بارها به مدرسه مراجعه کردم، اما هر بار گفتند سامانه قطع است و امکان ثبت نمرات وجود ندارد. حالا که تنها یک هفته تا آغاز مدارس باقی مانده، عملاً امکان ثبت‌نام در مدارس دیگر را هم ندارم؛ چراکه ظرفیت بسیاری از مدارس تکمیل شده است.» ‏ 🔹 تداوم این وضعیت، نگرانی دانش‌آموزان و خانواده‌های آنان را به همراه داشته است؛ چراکه با نزدیک شدن به آغاز سال تحصیلی، فرصت محدودی برای تعیین تکلیف وضعیت تحصیلی و ثبت‌نام باقی مانده است. ‏ 🔹 اکنون دانش‌آموزان و خانواده‌های آنان خواستار رسیدگی فوری مسئولان آموزش‌وپرورش به این مشکل و تعیین تکلیف وضعیت ثبت‌نام و تغییر رشته دانش‌آموزان هستند تا اختلال در روند اداری و سامانه‌ای، موجب از دست رفتن فرصت تحصیل در رشته و مدرسه موردنظر آنان نشود. ‎ ✅ @sepah_pasdaran,2026-09-21 16:54:10
Iran_IRGC_Proxy,sepah_pasdaran,‏ روایت‌سازی به‌جای سند؛ وقتی «منبع آگاه» جای مدرک را می‌گیرد! ‏ 🔹 رسانه‌های وابسته به گروهک‌های تروریستی و تجزیه طلب شرق کشور به کارخانه تولید روایت‌های ساختگی و اتهامات بدون سند علیه نظام به ویژه نیروهای امنیتی در سیستان و بلوچستان، تبدیل شده‌اند. ‏ 🔹 روایت‌هایی که با استناد به منابع آگاه و مطلع ناشناس بوده و نشان میدهد که یک عملیات ادراکی در این استان در جریان می‌باشد. در تازه ترین سناریو، مدعی اسقرار نیروهای فاطمیون در محلات شهرهای مختلف استان و حتی تلاش برای تعرض به یک زن شده‌اند! سند هم طبق معمول منبع آگاه و مطلع ناشناس است. ‏ 🔹 این رسانه‌ها در این عملیات به دنبال القای ناامنی، ایجاد شکاف میان مردم و نیروهای امنیتی و مشروعیت بخشی به اقدامات تروریستی هستند. در اینجا میدان اصلی جنگ ذهن و ادراک جامعه است و مقابله با این پروژه، نیازمند مطالبه مستندات، راستی‌آزمایی ادعاها و ارتقای سواد رسانه‌ای می‌باشد. ‎ ✅ ️ @sepah_pasdaran,2026-09-21 16:54:10
Iran_IRGC_Proxy,sepah_pasdaran,‏ ️‌ قم چهارشنبه تعطیل است استاندار قم: چهارشنبه اول مهر به‌دلیل تشییع پیکر آیت‌الله شبیری‌زنجانی تعطیل است. سه روز عزای عمومی در استان اعلام شد. ‎ ✅ @sepah_pasdaran,2026-09-21 16:54:10
Iran_IRGC_Proxy,sepah_pasdaran,‏ محسن زرندی مقدم رئیس هیئت مدیره: بانک اقتصادنوین در حد توان و ظرفیت خود، مشکلات کشور را حل کرده است رئیس هیئت مدیره بانک اقتصادنوین با اعلام رشد چشمگیر شاخص‌های عملکردی این بانک در بازار رقابتی، گفت: بانک اقتصادنوین در حد توان و ظرفیت خود، مشکلات کشور را حل کرده است و اگر این ظرفیت افزایش یابد، حتما سهم این بانک در برطرف کردن موانع و چالش‌های کشور بیشتر خواهد شد. ‎ ✅ ️ @sepah_pasdaran,2026-09-21 16:54:10
Iran_IRGC_Proxy,sepah_pasdaran,‏ ️پزشکیان فردا به نیویورک می‌رود ‏ 🔹 رئیس‌جمهور سه‌شنبه به‌منظور شرکت و سخنرانی در مجمع عمومی سازمان ملل، بدون تیم رسانه‌ای عازم آمریکا می‌شود. ‎ ✅ @sepah_pasdaran,2026-09-21 16:54:10
Saudi_AlArabiya,AlArabiya,فيديو حمل مسنة لتلقي راتبها يفجر غضبا بالجزائر.. وتحرك رسمي https://ara.tv/g2vuf,2026-09-21 16:54:11
Saudi_AlArabiya,AlArabiya,وفاة نجل عارضة الأزياء الشهيرة سيندي كروفورد عن 27 عاماً https://ara.tv/f8b0e,2026-09-21 16:54:11
Saudi_AlArabiya,AlArabiya,إسرائيل تستهدف مناطق في ريف درعا بالقذائف والرشاشات https://ara.tv/ygq4d,2026-09-21 16:54:11
Saudi_AlArabiya,AlArabiya,الجيش السوداني يكثف عملياته ضد الدعم السريع شمال كردفان https://ara.tv/4abc9,2026-09-21 16:54:11
Saudi_AlArabiya,AlArabiya,نقابة المهندسين في مصر: قبول طلاب بمجاميع منخفضة يهدد المهنة https://ara.tv/7okil,2026-09-21 16:54:11
Yemen_Houthi,army21ye,بيان صادرٌ عن القواتِ المسلحة اليمنيةِ بسمِ اللهِ الرحمنِ الرحيمِ قالَ تعالى: {فَمَنِ اعْتَدَى عَلَيْكُمْ فَاعْتَدُوا عَلَيْهِ بِمِثْلِ مَا اعْتَدَى عَلَيْكُمْ} صدقَ اللهُ العظيم رداً على البهتانِ العظيمِ باتهامِ يمنِ الإيمانِ والحكمةِ باستهدافِ مكةَ المكرمةِ وانتصاراً لها من إساءةِ قارونِ العصرِ قرنِ الشيطانِ النجديِّ السعوديِّ إليها ورداً على استمرارِ العدوِّ السعوديِّ المجرمِ بشنِّ الغاراتِ الجويةِ العدوانيةِ على شعبِنا العزيزِ بطيرانِهِ الحربيِّ نوعِ F15 وتايفون الذي يقلعُ من قاعدتي خميسِ مشيطٍ والطائفِ والتي بلغتْ حتى الآنَ 732 غارةً جويةً وخلفَت شهداءَ وجرحى من المدنيينَ ودمارا في البنى التحتية المدنية. وفي إطارِ الردِّ على محاولاتِ العدوِّ السعوديِّ المجرمِ باستهدافِ العاصمةِ صنعاءَ بالطرقِ والأساليبِ الداعشيةِ من خلالِ محاولة التفجيراتِ التي تستهدفُ المدنيينَ بدونِ تمييزٍ أو استثناءٍ. وعليهِ فقدْ نفذتِ القواتُ المسلحةُ اليمنيةُ عمليتينِ عسكريتينِ نوعيتينِ بعدد كبير من الصواريخ الباليستية والمجنحةِ والطائرات المسيرة الأولى استهدفتْ أهدافاً حساسةً في عاصمةِ العدوِّ السعوديِّ الرياضِ والثانيةُ استهدفتْ شركةَ أرامكو في ينبعَ وتكللت العمليتان بعونِ اللهِ تعالى بالنجاحِ وأدت إلى نشوب حرائق ضخمة في الأماكن المستهدفة. إنَّ القواتِ المسلحةَ اليمنيةَ تؤكدُ بأنَّ ما تروجُ لهُ وسائلُ إعلامِ العدوِّ السعوديِّ من دعاياتٍ كاذبةٍ بأننا نستهدفُ المدنيينَ لا أساسَ لها من الصحةِ فإنها إن كانت فهي ناتجةٌ عن اعتراضاتٍ فاشلةٍ تقومُ بها دفاعاتُ العدوِّ السعوديِّ إنَّ القواتِ المسلحةَ اليمنيةَ مستمرةٌ في فرضِ معادلةِ الحصارِ بالحصارِ والتصعيدِ بالتصعيدِ واستهدافِ التحشيداتِ التابعةِ للعدوِّ السعوديِّ حتى وقفِ العدوانِ وإنهاءِ الحصارِ عن بلدِنا العزيزِ واللهُ حسبُنا ونعمَ الوكيلُ، نعمَ المولى ونعمَ النصيرُ. عاشَ اليمنُ حراً عزيزاً مستقلاً، والنصرُ لليمنِ ولكلِّ أحرارِ الأمةِ. صنعاءُ، 8 ربيع الثاني 1448هـ الموافقُ 19 سبتمبر 2026م. صادرٌ عنِ القواتِ المسلحةِ اليمنيةِ http://t.me/army21ye,2026-09-21 16:54:13
Yemen_Houthi,army21ye,"In response to the great slander accusing Yemen, the land of faith and wisdom, of targeting Mecca, and in defense of Mecca against the insults of the Korah of the age, the Najdi Saudi horn of Satan. And in response to the continued aggression of the criminal Saudi enemy against our dear people with its F-15 and Typhoon warplanes, which take off from the Khamis Mushait and Taif bases, which have reached 732 airstrikes up to date, leaving martyrs and wounded among the civilians and destruction of civilian infrastructure. In response to the Saudi enemy's criminal attempts to target the capital, Sana'a, using ISIS-style tactics, including indiscriminate bombings targeting civilians. the Yemeni Armed Forces carried out two successful military operations using a large number of ballistic and cruise missiles and drones. The first targeted sensitive sites in the Saudi capital, Riyadh, and the second targeted Aramco facilities in Yanbu. Both operations were successful, by the grace of Allah, and resulted in massive fires at the targeted locations. The Yemeni Armed Forces affirm that the false propaganda disseminated by the Saudi enemy media, claiming that we are targeting civilians, is baseless., and any such claims are merely the result of failed interceptions by the Saudi enemy's defenses systems. The Yemeni Armed Forces will continue to enforce the equation of ""a siege fir a siege"" and "" an escalation for an escalation"", and also targeting Saudi enemy troops snd buildups until the aggression ceases and the blockade on our beloved country is lifted. Sana'a, Rabi' al-Thani 8, 1448 AH September 19, 2026 AD Issued by the Yemeni Armed Forces http://t.me/army21ye",2026-09-21 16:54:13
Yemen_Houthi,army21ye,بيان القوات المسلحة اليمنية http://t.me/army21ye,2026-09-21 16:54:13
Yemen_Houthi,army21ye,بيان القوات المسلحة اليمنية http://t.me/army21ye,2026-09-21 16:54:13
Yemen_Houthi,army21ye,"شن الطيران الحربي السعودي خلال الـ24 ساعة الماضية 28 غارة جوية من خلال طائرات ""F15"" و ""تايفون"" أقلعت من قاعدتي خميس مشيط والطائف استهدفت محافظات تعز والجوف ومأرب ليبلغ إجمالي الغارات منذ بدء التصعيد السعودي على بلدِنا وشعبنا 760 غارة جوية. http://t.me/army21ye",2026-09-21 16:54:13
