date,category,title,link,description,source
2026-09-21,Europe_Eurasia,Secretary Rubio’s Meeting with Arctic Allies,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-rubios-meeting-with-arctic-allies/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-21,East_Asia_Pacific,Announcing Steps to Impose Visa Restrictions on 32 Individuals Connected to Prince Group TCO & Others Scamming Americans,https://www.state.gov/releases/office-of-the-spokesman/2026/09/announcing-steps-to-impose-visa-restrictions-on-32-individuals-connected-to-prince-group-tco-others-scamming-americans/,"<p>Thomas &quot;Tommy&quot; Pigott, SpokesmanOffice of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block",US_Department_of_State
2026-09-18,Europe_Eurasia,Secretary Rubio’s Meeting with Foreign Minister Budrys,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-rubios-meeting-with-foreign-minister-budrys/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-18,East_Asia_Pacific,Secretary Rubio’s Meeting with Republic of Korea Foreign Minister Cho,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-rubios-meeting-with-republic-of-korea-foreign-minister-cho-4/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-17,Near_East_Middle_East,Operation Economic Outcast Dismantles Iran’s Sanctions Evasion Network,https://www.state.gov/releases/office-of-the-spokesman/2026/09/operation-economic-outcast-dismantles-irans-sanctions-evasion-network/,"<p>Thomas &quot;Tommy&quot; Pigott, SpokesmanOffice of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block",US_Department_of_State
2026-09-17,Europe_Eurasia,Secretary of State Marco Rubio and Lithuanian Foreign Minister Kęstutis Budrys at the Critical Minerals Framework Memorandum of Understanding Signing Ceremony,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-of-state-marco-rubio-and-lithuanian-foreign-minister-kestutis-budrys-at-the-critical-minerals-framework-memorandum-of-understanding-signing-ceremony/,"<p>Marco Rubio, Secretary of State</p>
<p>Kęstutis Budrys, Lithuanian Foreign Minister</p>
<p>Washington, D.C.</p>
<p>Colin L. Powell Treaty Room</p>

<section class=""wp-block-default-hero-container w",US_Department_of_State
2026-09-16,Near_East_Middle_East,Sanctioning Officials of the Palestinian Authority and Members of the Palestine Liberation Organization,https://www.state.gov/releases/office-of-the-spokesman/2026/09/sanctioning-officials-of-the-palestinian-authority-and-members-of-the-palestine-liberation-organization-2/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-16,East_Asia_Pacific,Joint Statement of the Multilateral Sanctions Monitoring Team (MSMT) on the Report Covering the DPRK’s Overseas Labour Program,https://www.state.gov/releases/office-of-the-spokesman/2026/09/joint-statement-of-the-multilateral-sanctions-monitoring-team-msmt-on-the-report-covering-the-dprks-overseas-labour-program/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-15,East_Asia_Pacific,Papua New Guinea National Day,https://www.state.gov/releases/office-of-the-spokesman/2026/09/papua-new-guinea-national-day/,"<p>Marco Rubio, Secretary of State</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-cont",US_Department_of_State
2026-09-15,Near_East_Middle_East,Secretary Rubio’s Call with Foreign Minister al-Shaibani,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-rubios-call-with-foreign-minister-al-shaibani/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-15,Near_East_Middle_East,Secretary Rubio’s Call with Omani Foreign Minister Sayyid Badr al-Busaidi,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-rubios-call-with-omani-foreign-minister-sayyid-badr-al-busaidi/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-14,East_Asia_Pacific,New U.S Health Partnership with Vietnam Under the Trump Administration’s America First Global Health Strategy,https://www.state.gov/releases/office-of-the-spokesman/2026/09/new-u-s-health-partnership-with-vietnam-under-the-trump-administrations-america-first-global-health-strategy/,"<p>Thomas &quot;Tommy&quot; Pigott, SpokesmanOffice of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block",US_Department_of_State
2026-09-14,East_Asia_Pacific,Joint Statement on the Quad Tabletop Exercise in Tokyo to Advance Indo-Pacific Logistics Network,https://www.state.gov/releases/office-of-the-spokesman/2026/09/joint-statement-on-the-quad-tabletop-exercise-in-tokyo-to-advance-indo-pacific-logistics-network/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-14,Near_East_Middle_East,U.S. Sanctions VTB Bank for Aiding Iran’s Sanctions Evasion,https://www.state.gov/releases/office-of-the-spokesman/2026/09/u-s-sanctions-vtb-bank-for-aiding-irans-sanctions-evasion/,"<p>Thomas &quot;Tommy&quot; Pigott, SpokesmanOffice of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block",US_Department_of_State
2026-09-11,East_Asia_Pacific,"Strengthening U.S. Ties with the Pacific: Deputy Secretary Landau Engages Partners in Federated States of Micronesia, Solomon Islands, and Kiribati",https://www.state.gov/releases/office-of-the-spokesman/2026/09/strengthening-u-s-ties-with-the-pacific-deputy-secretary-landau-engages-partners-in-federated-states-of-micronesia-solomon-islands-and-kiribati/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-10,Near_East_Middle_East,U.S. Takes Action Against Iran’s Terrorist Proxies,https://www.state.gov/releases/office-of-the-spokesman/2026/09/u-s-takes-action-against-irans-terrorist-proxies/,"<p>Thomas &quot;Tommy&quot; Pigott, SpokesmanOffice of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block",US_Department_of_State
2026-09-09,East_Asia_Pacific,Dismantling Transnational Criminal Organization Xinbi Guarantee,https://www.state.gov/releases/office-of-the-spokesman/2026/09/dismantling-transnational-criminal-organization-xinbi-guarantee/,"<p>Thomas &quot;Tommy&quot; Pigott, SpokesmanOffice of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block",US_Department_of_State
2026-09-09,Europe_Eurasia,"United States and Poland Sign $4 Billion Foreign Military Financing Loan Guarantee, Bringing Total U.S. Support to Nearly $20 Billion",https://www.state.gov/releases/office-of-the-spokesman/2026/09/united-states-and-poland-sign-4-billion-foreign-military-financing-loan-guarantee-bringing-total-u-s-support-to-nearly-20-billion/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-08,Near_East_Middle_East,Operation Economic Outcast Grounds Iran’s Aviation Sector,https://www.state.gov/releases/office-of-the-spokesman/2026/09/operation-economic-outcast-grounds-irans-aviation-sector/,"<p>Thomas &quot;Tommy&quot; Pigott, SpokesmanOffice of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block",US_Department_of_State
2026-09-04,Near_East_Middle_East,U.S. Sanctions Dismantle the Iranian Regime’s Revenue Streams,https://www.state.gov/releases/office-of-the-spokesman/2026/09/u-s-sanctions-dismantle-the-iranian-regimes-revenue-streams/,"<p>Thomas &quot;Tommy&quot; Pigott, SpokesmanOffice of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block",US_Department_of_State
2026-09-02,Near_East_Middle_East,Secretary of State Marco Rubio with Brian Kilmeade on The Brian Kilmeade Show,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-of-state-marco-rubio-with-brian-kilmeade-on-the-brian-kilmeade-show/,"<p>Marco Rubio, Secretary of State</p>
<p>Via Teleconference</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default",US_Department_of_State
2025-11-10,Press_Briefings,Secretary Rubio’s Travel to the G7 Foreign Ministers’ Meeting in Canada,https://www.state.gov/releases/office-of-the-spokesman/2025/11/secretary-rubios-travel-to-the-g7-foreign-ministers-meeting-in-canada/,"<p>Thomas &quot;Tommy&quot; Pigott, Principal Deputy Spokesperson</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-de",US_Department_of_State
2025-11-04,Press_Briefings,Disrupting Illicit DPRK Bankers and Institutions Laundering Cybercrime and IT Worker Funds,https://www.state.gov/releases/office-of-the-spokesman/2025/11/disrupting-illicit-dprk-bankers-and-institutions-laundering-cybercrime-and-it-worker-funds/,"<p>Thomas &quot;Tommy&quot; Pigott, Principal Deputy Spokesperson</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-de",US_Department_of_State
2025-11-03,Press_Briefings,Deputy Secretary Landau’s Call with Argentine Foreign Minister Quirno,https://www.state.gov/releases/office-of-the-spokesman/2025/11/deputy-secretary-landaus-call-with-argentine-foreign-minister-quirno/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2025-10-31,Press_Briefings,Secretary Rubio’s Meeting with Bolivian President-Elect Paz,https://www.state.gov/releases/office-of-the-spokesman/2025/10/secretary-rubios-meeting-with-bolivian-president-elect-paz/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2025-10-30,Press_Briefings,Secretary Rubio’s Call with President Jerí of Peru,https://www.state.gov/releases/office-of-the-spokesman/2025/10/secretary-rubios-call-with-president-jeri-of-peru/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2025-08-12,Press_Briefings,"Department Press Briefing – August 12, 2025",https://www.state.gov/briefings/department-press-briefing-august-12-2025/,"<p>Tammy Bruce, Department Spokesperson</p>
<p>Washington, D.C.</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-defa",US_Department_of_State
2025-08-05,Press_Briefings,"Department Press Briefing – August 5, 2025",https://www.state.gov/briefings/department-press-briefing-august-5-2025/,"<p>Tammy Bruce, Department Spokesperson</p>
<p>Washington, DC</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-defaul",US_Department_of_State
2025-07-31,Press_Briefings,"Department Press Briefing – July 31, 2025",https://www.state.gov/briefings/department-press-briefing-july-31-2025/,"<p>Thomas &quot;Tommy&quot; Pigott, Principal Deputy Spokesperson</p>
<p>Washington, D.C.</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

",US_Department_of_State
2025-07-29,Press_Briefings,"Department Press Briefing – July 29, 2025",https://www.state.gov/briefings/department-press-briefing-july-29-2025/,"<p>Tammy Bruce, Department Spokesperson</p>
<p>Washington, D.C.</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-defa",US_Department_of_State
2025-07-22,Press_Briefings,"Department Press Briefing – July 22, 2025",https://www.state.gov/briefings/department-press-briefing-july-22-2025/,"<p>Tammy Bruce, Department Spokesperson</p>
<p>Washington, DC</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-defaul",US_Department_of_State
